Ano,Região,UF,Nome do Município,Localização,Dependência Administrativa,Ano de Ensino,Código da Escola,Abandono,Aprovacao,Reprovacao
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,2º Ano,53006526,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,2º Ano,53006534,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,2º Ano,53006798,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,2º Ano,53006828,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,2º Ano,53006836,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,2º Ano,53006844,0.0,95.0,5.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,2º Ano,53006852,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,2º Ano,53006860,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,2º Ano,53006879,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,2º Ano,53006887,4.0,96.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,2º Ano,53006895,0.0,93.8,6.2
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,2º Ano,53006917,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,2º Ano,53007000,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,2º Ano,53007018,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,2º Ano,53008111,0.0,95.7,4.3
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,2º Ano,53008120,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,2º Ano,53008162,0.0,94.7,5.3
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,2º Ano,53009347,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,2º Ano,53009398,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,2º Ano,53009711,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,2º Ano,53009746,0.0,97.1,2.9
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,2º Ano,53009762,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,2º Ano,53011015,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,2º Ano,53012070,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,2º Ano,53012178,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,2º Ano,53012550,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,2º Ano,53012666,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,2º Ano,53012739,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,2º Ano,53013492,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,2º Ano,53014278,4.8,95.2,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,2º Ano,53014545,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,3ª série,53003047,9.1,81.8,9.1
